Ticker,Aktienkurs,Währung,Aktienkurs in EUR,Aktienkurs in USD
AAPL,232.8,USD,223.72,232.8
MSFT,412.37,USD,396.29,412.37
NVDA,118.65,USD,114.02,118.65
AMZN,242.06,USD,232.62,242.06
META,704.19,USD,676.73,704.19
TSLA,392.21,USD,376.91,392.21
GOOG,207.71,USD,199.61,207.71
AVGO,222.43,USD,213.76,222.43
JPM,267.94,USD,257.49,267.94
LLY,826.07,USD,793.85,826.07
BRK-B,467.49,USD,449.26,467.49
V,345.15,USD,331.69,345.15
UNH,545.45,USD,524.18,545.45
XOM,109.96,USD,105.67,109.96
MA,559.11,USD,537.3,559.11
WMT,100.77,USD,96.84,100.77
COST,1021.86,USD,982.01,1021.86
NFLX,994.87,USD,956.07,994.87
HD,411.49,USD,395.44,411.49
PG,168.13,USD,161.57,168.13
JNJ,153.49,USD,147.5,153.49
CRM,344.14,USD,330.72,344.14
BAC,46.71,USD,44.89,46.71
ABBV,189.95,USD,182.54,189.95
SAP.DE,267.3,EUR,267.3,278.15
ASML.AS,712.4,EUR,712.4,741.31
NOVO-B.CO,592.6,DKK,79.42,82.64
CVX,153.22,USD,147.24,153.22
ORCL,167.89,USD,161.34,167.89
